k,inertia,silhouette_score
4,290317.7624386501,0.1511103449363202
5,267071.0192153426,0.1571242012547282
6,244121.13395185885,0.1552152273513186
7,225558.65480684408,0.1571355301833129
8,215960.0383301786,0.15189515951827015
9,205601.25594691085,0.15705582012583894
10,199725.58709929982,0.15602801068050903
12,185264.12750414584,0.13240902535269958
