neighbourhood_model,listings,median_price,mean_price,median_availability_rate,median_reviews_last_365_days
78730,33,742.0,860.0984848484849,0.8657534246575342,2.0
78746,153,457.0,726.1893464052288,0.6986301369863014,2.0
78733,67,405.0,734.6619402985075,0.8054794520547945,2.0
78732,52,403.25,510.44038461538463,0.863013698630137,9.0
78737,151,352.06,532.6776821192053,0.8027397260273973,11.0
78734,313,338.0,518.7500958466453,0.8027397260273973,5.0
78701,950,291.23,337.2730947368421,0.6835616438356165,0.0
78736,63,264.0,428.02793650793654,0.8438356164383561,9.0
78702,1112,263.0,350.0224910071943,0.7095890410958904,15.0
78721,304,240.33499999999998,282.3434210526316,0.736986301369863,10.5
78731,85,237.55,413.3582352941176,0.7972602739726027,3.0
78749,97,236.83,289.5292783505155,0.736986301369863,4.0
78704,1524,233.97,397.58392388451443,0.8027397260273973,6.0
78738,56,224.5,320.0910714285714,0.863013698630137,2.0
78722,149,205.5,258.5453020134228,0.6876712328767123,12.0
