room_type_model,listings,median_price,mean_price,median_log_price,median_availability_rate,median_reviews_last_365_days
Entire home/apt,8464,231.5,333.3178036389414,5.444579873526289,0.736986301369863,7.0
Private room,1511,95.33,166.68443414956982,4.557344556505487,0.7041095890410959,1.0
Hotel room,184,310.5,611.9947826086956,5.738120366747725,0.8438356164383561,0.0
Shared room,71,16.81,25.197464788732393,2.821973947420524,0.9452054794520548,1.0
