cluster,listings,median_price,mean_price,median_availability_rate,median_reviews_last_365_days,median_residual_signal_score,median_cluster_anomaly_score,median_cluster_adjusted_signal_score
0,1405,523.0,677.4176441281139,0.8575342465753425,13.0,50.00937614730718,40.52297165200391,47.66121212121212
1,1598,221.6,354.96942428035044,0.852054794520548,0.0,49.18416516112415,49.93646138807429,49.00175028213596
2,2425,196.0,217.7002144329897,0.7287671232876712,27.0,50.54803936914472,31.29521016617791,45.77826462618889
3,2479,187.15,242.22606292860024,0.9041095890410958,2.0,51.326649844279245,60.17106549364614,53.504672703331934
4,2165,169.33,229.0041247113164,0.3095890410958904,4.0,49.56981390679652,52.74682306940372,50.99130172543976
5,123,123.0,264.2754471544716,0.8410958904109589,1.0,53.52883675464321,93.11827956989248,65.94359275692528
6,35,333.88,335.54171428571425,0.5150684931506849,8.0,47.01228955153877,50.42521994134898,48.821003008786946
