room_type_model,listings,strong_candidates,median_actual_price,median_final_overpricing_score,median_availability_rate,strong_candidate_rate
Entire home/apt,8464,10,231.5,48.87655649760614,0.736986301369863,0.0011814744801512287
Private room,1511,3,95.33,53.1314341572406,0.7041095890410959,0.001985440105890139
Hotel room,184,0,310.5,57.8230449657869,0.8438356164383561,0.0
Shared room,71,0,16.81,55.03548159767214,0.9452054794520548,0.0
