candidate_label,listings,median_actual_price,median_predicted_price,median_percent_above_expected,median_availability_rate,median_reviews_last_365_days,median_final_overpricing_score
strong candidate,13,563.67,217.2200258452595,124.53625604234468,1.0,0.0,96.22924282161965
moderate candidate,62,554.0,230.77985026018473,111.12202207578278,0.9835616438356164,0.0,91.8939108475624
watchlist,533,379.5,222.52225114327587,60.608045912293385,0.8684931506849315,1.0,83.5600013459788
not flagged,9622,210.0,217.49996157632225,-3.524792656907633,0.726027397260274,6.0,47.97371425993062
