neighbourhood_model,listings,strong_candidates,median_actual_price,median_final_overpricing_score,median_availability_rate,strong_candidate_rate
78701,950,3,291.23,50.5232839270426,0.6835616438356165,0.003157894736842105
78750,41,1,164.13,52.52104491433863,0.7397260273972602,0.024390243902439025
78732,52,1,403.25,54.38359686396552,0.863013698630137,0.019230769230769232
78724,164,1,164.54000000000002,55.38706688946004,0.7397260273972602,0.006097560975609756
78752,208,1,131.25,52.89732622152098,0.7246575342465753,0.004807692307692308
78734,313,1,338.0,56.08493925429409,0.8027397260273973,0.003194888178913738
78744,349,1,147.0,50.60232330809974,0.6356164383561644,0.0028653295128939827
78703,396,1,203.885,50.19585866533153,0.7794520547945205,0.0025252525252525255
78741,493,1,185.0,48.41979813316458,0.7726027397260274,0.002028397565922921
78745,591,1,196.86,48.16160685945269,0.7068493150684931,0.001692047377326565
78702,1112,1,263.0,46.53907652594447,0.7095890410958904,0.0008992805755395684
78704,1524,0,233.97,48.37803392438701,0.8027397260273973,0.0
78705,377,0,171.0,47.082721401571895,0.6027397260273972,0.0
78717,56,0,161.655,60.029728739002934,0.9082191780821918,0.0
78719,15,0,98.5,41.2697458455523,0.4246575342465753,0.0
78721,304,0,240.33499999999998,47.30039714250003,0.736986301369863,0.0
78722,149,0,205.5,45.65160874357854,0.6876712328767123,0.0
78723,333,0,199.13,50.15557857535786,0.6904109589041096,0.0
78725,76,0,195.5,53.38117302052786,0.6027397260273972,0.0
78726,14,0,111.59,40.50136852394917,0.8972602739726028,0.0
78727,105,0,145.72,52.46017767810936,0.8082191780821918,0.0
78728,80,0,193.5,52.08738682997087,0.7315068493150685,0.0
78729,132,0,202.39999999999998,52.905380804760384,0.826027397260274,0.0
78730,33,0,742.0,56.61153470185728,0.8657534246575342,0.0
78731,85,0,237.55,49.68616298811545,0.7972602739726027,0.0
78733,67,0,405.0,57.11519822409699,0.8054794520547945,0.0
78735,51,0,179.9,49.13467991302093,0.8493150684931506,0.0
78736,63,0,264.0,49.61064097193129,0.8438356164383561,0.0
78737,151,0,352.06,55.620370572817734,0.8027397260273973,0.0
78738,56,0,224.5,58.01295210166178,0.863013698630137,0.0
78739,24,0,338.83500000000004,49.96716605040588,0.7315068493150685,0.0
78742,4,0,311.25,52.38506842619746,0.5082191780821917,0.0
78746,153,0,457.0,48.97949543740811,0.6986301369863014,0.0
78747,66,0,150.625,49.1818846122751,0.763013698630137,0.0
78748,143,0,187.44,52.682729650471586,0.7342465753424657,0.0
78749,97,0,236.83,49.19005695099664,0.736986301369863,0.0
78751,335,0,139.0,48.29557342916631,0.8082191780821918,0.0
78753,192,0,131.45499999999998,50.44060310555664,0.8260273972602741,0.0
78754,127,0,165.47,55.341227767538555,0.6383561643835617,0.0
78756,124,0,176.35,49.8490318820964,0.7246575342465753,0.0
78757,193,0,154.5,47.012339677549896,0.736986301369863,0.0
78758,307,0,180.0,50.99819664947585,0.6794520547945205,0.0
78759,125,0,174.42,51.05679374389051,0.7808219178082192,0.0
