listing_id,name,room_type_model,neighbourhood_model,capacity_bucket,actual_price,oof_predicted_price,oof_percent_above_expected,oof_log_residual,global_residual_percentile,simple_peer_residual_percentile,capacity_peer_residual_percentile,residual_signal_score,availability_rate,reviews_last_365_days,peer_residual_label
1446575107944811069,Riverside Ruby-DT Austin 2 miles,Entire home/apt,78741,1-2 guests,311.57,73.50056242151356,323.9015182131499,1.44433097390018,99.63831867057674,99.54128440366972,100.0,99.71771278933161,0.8904109589041096,1.0,high residual across both peer views
15255266,Hyde Park Private Room\Full Bath,Private room,78751,1-2 guests,480.0,152.55101112316035,214.64884858250943,1.14628706461858,99.28641251221897,100.0,100.0,99.71456500488759,1.0,0.0,high residual across both peer views
1395030844947256938,Zilker Bohemian Condo,Entire home/apt,78704,3-4 guests,1598.0,328.07231370311166,387.087734396907,1.5832740736346604,99.71652003910069,99.78693181818183,99.63503649635037,99.71319850999993,0.473972602739726,0.0,high residual across both peer views
49029414,West Coast Love,Private room,78704,1-2 guests,543.0,175.42952682898402,209.52600158885392,1.1298719142034337,99.26686217008798,100.0,100.0,99.7067448680352,1.0,0.0,high residual across both peer views
552376159418807451,Amazing Lakefront Home with Huge Yard & Dock,Entire home/apt,78733,5-6 guests,1428.5,360.9255354654889,295.78801155137194,1.3757085575639216,99.57966764418377,100.0,99.57966764418377,99.70576735092865,0.9616438356164384,10.0,high residual across both peer views
1090966434399039962,Nice place at North Austin,Private room,78726,1-2 guests,787.33,171.37818624364832,359.4108604234224,1.5247747444389823,99.69696969696969,99.69696969696969,99.69696969696969,99.69696969696969,0.2383561643835616,0.0,high residual across both peer views
24822761,Austin City Limits Home just 15 min from downtown,Entire home/apt,78729,7+ guests,1655.0,562.3923734766609,194.27852831092528,1.0793565080811556,99.16911045943304,100.0,100.0,99.66764418377322,0.2383561643835616,0.0,high residual across both peer views
1521270636877901878,Wellness Estate by Lady Bird Lake — Gym + Sauna,Entire home/apt,78702,7+ guests,3566.5,939.044409039173,279.80099403916694,1.3344772296567236,99.5307917888563,99.71014492753623,99.74747474747475,99.64960261804582,0.9835616438356164,0.0,high residual across both peer views
625274155319345207,Cheerful Master Bedroom with Onsite Gym!,Private room,78744,1-2 guests,143.07,50.38665005493587,183.944258735226,1.0436077608501702,99.11045943304008,100.0,100.0,99.64418377321604,0.8931506849315068,1.0,high residual across both peer views
1129740102673984141,Austin Style Getaway | Pool Gym Rooftop | Best Loc,Entire home/apt,78704,7+ guests,1439.44,351.780592677168,309.18687101109816,1.409001763046552,99.59921798631476,99.64488636363636,99.6923076923077,99.64084541130913,0.8082191780821918,55.0,high residual across both peer views
828955717244231348,South Congress Oasis w/ Pool!,Entire home/apt,78745,5-6 guests,565.53,174.28562541706142,224.48459168488503,1.177067865777178,99.37438905180841,99.59839357429718,100.0,99.62927369301252,0.473972602739726,0.0,high residual across both peer views
1090977797775109031,Great facility at Austin,Private room,78726,1-2 guests,880.99,208.3162723327445,322.90983327158955,1.4419888102218952,99.62854349951125,99.62854349951125,99.62854349951125,99.62854349951125,0.736986301369863,0.0,high residual across both peer views
48353761,Charming Contemporary Condo !,Entire home/apt,78741,3-4 guests,1746.0,295.54847303342365,490.76603647434325,1.7762498756678964,99.86314760508309,99.77064220183486,99.13793103448276,99.61783101292852,0.7397260273972602,0.0,high residual across both peer views
