neighbourhood_model,listings,median_price,mean_price,median_availability_rate,median_reviews_last_365_days
78701,950,291.23,337.2730947368421,0.6835616438356165,0.0
78702,1112,263.0,350.0224910071943,0.7095890410958904,15.0
78703,396,203.885,335.21116161616163,0.7794520547945205,2.0
78704,1524,233.97,397.58392388451443,0.8027397260273973,6.0
78705,377,171.0,201.52320954907162,0.6027397260273972,5.0
78717,56,161.655,217.25589285714287,0.9082191780821918,0.0
78719,15,98.5,121.81733333333334,0.4246575342465753,2.0
78721,304,240.33499999999998,282.3434210526316,0.736986301369863,10.5
78722,149,205.5,258.5453020134228,0.6876712328767123,12.0
78723,333,199.13,253.45078078078078,0.6904109589041096,5.0
78724,164,164.54000000000002,214.6403048780488,0.7397260273972602,2.5
78725,76,195.5,219.15684210526314,0.6027397260273972,4.5
78726,14,111.59,246.115,0.8972602739726028,2.0
78727,105,145.72,212.72266666666667,0.8082191780821918,3.0
78728,80,193.5,210.3005,0.7315068493150685,9.0
78729,132,202.39999999999998,251.54992424242423,0.826027397260274,6.0
78730,33,742.0,860.0984848484849,0.8657534246575342,2.0
78731,85,237.55,413.3582352941176,0.7972602739726027,3.0
78732,52,403.25,510.44038461538463,0.863013698630137,9.0
78733,67,405.0,734.6619402985075,0.8054794520547945,2.0
78734,313,338.0,518.7500958466453,0.8027397260273973,5.0
78735,51,179.9,299.77941176470586,0.8493150684931506,9.0
78736,63,264.0,428.02793650793654,0.8438356164383561,9.0
78737,151,352.06,532.6776821192053,0.8027397260273973,11.0
78738,56,224.5,320.0910714285714,0.863013698630137,2.0
78739,24,338.83500000000004,422.56,0.7315068493150685,5.5
78741,493,185.0,261.40024340770793,0.7726027397260274,8.0
78742,4,311.25,340.5,0.5082191780821917,3.0
78744,349,147.0,212.78659025787968,0.6356164383561644,5.0
78745,591,196.86,247.93494077834177,0.7068493150684931,6.0
78746,153,457.0,726.1893464052288,0.6986301369863014,2.0
78747,66,150.625,204.61242424242425,0.763013698630137,3.0
78748,143,187.44,233.19272727272727,0.7342465753424657,3.0
78749,97,236.83,289.5292783505155,0.736986301369863,4.0
78750,41,164.13,288.95243902439023,0.7397260273972602,2.0
78751,335,139.0,157.75328358208955,0.8082191780821918,5.0
78752,208,131.25,174.16552884615385,0.7246575342465753,3.0
78753,192,131.45499999999998,180.58697916666665,0.8260273972602741,6.0
78754,127,165.47,189.3711811023622,0.6383561643835617,2.0
78756,124,176.35,208.45653225806453,0.7246575342465753,6.0
78757,193,154.5,234.56518134715026,0.736986301369863,7.0
78758,307,180.0,210.40071661237783,0.6794520547945205,4.0
78759,125,174.42,223.53072,0.7808219178082192,2.0
